Listing Title,Area,Distances to Railway Stations,Building Age,Stories Tall,Floor,Price,Administrative Costs,Deposit,Gratuity,Rooms,Square Meters,Links to Listing
箱根湯本テラスハウス,神奈川県足柄下郡箱根町元箱根,"小田急小田原線/小田原駅 歩280分,ＪＲ東海道本線/鴨宮駅 歩327分,箱根登山鉄道/箱根湯本駅 歩203分",築26年,2階建,1-2階,5.5万円,-,-,-,2LDK,46.82m,https://suumo.jp/chintai/jnc_000055064775/?bc=100183918489
プレステージ一番館,千葉県船橋市習志野１,新京成線/北習志野駅 歩27分,築18年,2階建,1階,4万円,-,2万円,2万円,1K,26.49m,https://suumo.jp/chintai/jnc_000054957047/?bc=100183414985
プレステージ一番館,千葉県船橋市習志野１,新京成線/北習志野駅 歩27分,築18年,2階建,1階,4万円,2000円,2万円,2万円,1K,26.49m,https://suumo.jp/chintai/jnc_000054880127/?bc=100183664540
メゾン　ブリーズ　I,茨城県神栖市柳川,"ＪＲ鹿島線/鹿島神宮駅 歩231分,ＪＲ成田線/笹川駅 歩220分,ＪＲ成田線/下総橘駅 歩98分",築11年,2階建,2階,5.4万円,2000円,-,-,2LDK,54.85m,https://suumo.jp/chintai/jnc_000017535408/?bc=100183648530
アリエッタガーデン,神奈川県足柄下郡箱根町仙石原,"小田急小田原線/小田原駅 歩235分,箱根登山鉄道/強羅駅 歩73分,箱根登山鉄道/彫刻の森駅 歩77分",築4年,2階建,2階,5.2万円,3000円,10.4万円,5.2万円,1LDK,39m,https://suumo.jp/chintai/jnc_000055018621/?bc=100183699686
アリエッタガーデン,神奈川県足柄下郡箱根町仙石原,"小田急小田原線/小田原駅 歩235分,箱根登山鉄道/強羅駅 歩73分,箱根登山鉄道/彫刻の森駅 歩77分",築4年,2階建,2階,5.2万円,3300円,-,5.2万円,1LDK,39m,https://suumo.jp/chintai/jnc_000055018622/?bc=100183674598
マヤリスマンション,茨城県神栖市知手中央６,"ＪＲ成田線/笹川駅 歩208分,ＪＲ鹿島線/鹿島神宮駅 歩206分,ＪＲ成田線/下総橘駅 歩106分",築22年,3階建,1階,4万円,3500円,-,-,1K,29.37m,https://suumo.jp/chintai/jnc_000055075564/?bc=100183986821
グレイスシャトー,茨城県神栖市知手,"ＪＲ鹿島線/鹿島神宮駅 歩215分,ＪＲ成田線/下総橘駅 歩122分,ＪＲ成田線/笹川駅 歩218分",築11年,2階建,2階,6.7万円,3000円,6.7万円,-,2LDK,54.55m,https://suumo.jp/chintai/jnc_000054867758/?bc=100183648525
アリュール,茨城県神栖市波崎,ＪＲ鹿島線/鹿島神宮駅 バス90分 (バス停)労災病院前 歩120分,築11年,2階建,2階,5.2万円,3000円,5.2万円,-,1LDK,33.06m,https://suumo.jp/chintai/jnc_000054963956/?bc=100183496923
プリムロウズ,茨城県神栖市知手中央２,"ＪＲ鹿島線/鹿島神宮駅 歩207分,ＪＲ成田線/下総橘駅 歩120分,ＪＲ成田線/小見川駅 歩168分",築12年,2階建,2階,4.7万円,3000円,4.7万円,-,1K,29.75m,https://suumo.jp/chintai/jnc_000037088079/?bc=100183811858
ネオグラス,茨城県神栖市土合西２,"ＪＲ成田線/椎柴駅 歩211分,ＪＲ総武本線/松岸駅 歩155分,ＪＲ総武本線/銚子駅 歩128分",築4年,平屋,1階,5.8万円,3000円,-,-,2LDK,56m,https://suumo.jp/chintai/jnc_000055075565/?bc=100183986242
ネオグラス,茨城県神栖市土合西２,"ＪＲ成田線/椎柴駅 歩211分,ＪＲ総武本線/松岸駅 歩155分,ＪＲ総武本線/銚子駅 歩128分",築4年,平屋,1階,5.8万円,3000円,-,-,2LDK,56m,https://suumo.jp/chintai/jnc_000022138262/?bc=100183406497
プラタナスヒルズB,神奈川県横浜市瀬谷区阿久和東２,"相鉄本線/希望ヶ丘駅 歩187分,相鉄本線/三ツ境駅 歩20分,ＪＲ横須賀線/戸塚駅 バス24分 (バス停)谷戸阿久和 歩2分",築27年,2階建,1階,7.2万円,5000円,7.2万円,7.2万円,2LDK,50m,https://suumo.jp/chintai/jnc_000055085789/?bc=100184003063
シエロ　ル　シャトー,茨城県神栖市知手中央１,ＪＲ鹿島線/鹿島神宮駅 歩210分,築6年,3階建,1階,5.8万円,4500円,-,5.8万円,1LDK,41.67m,https://suumo.jp/chintai/jnc_000037363886/?bc=100183515670
大歩住宅,茨城県猿島郡境町大字大歩,"東武日光線/南栗橋駅 歩164分,関東鉄道常総線/南石下駅 歩214分",築43年,2階建,-,6.3万円,-,6.3万円,-,4DK,94.62m,https://suumo.jp/chintai/jnc_000044914420/?bc=100183588176
ＪＲ京浜東北線 蒲田駅 3階建 築43年,東京都大田区東矢口３,"ＪＲ京浜東北線/蒲田駅 歩164分,東急多摩川線/矢口渡駅 歩6分,東急池上線/蓮沼駅 歩7分",築43年,3階建,3階,5.7万円,3500円,5.7万円,5.7万円,ワンルーム,19.8m,https://suumo.jp/chintai/jnc_000043582455/?bc=100131902942
ＪＲ京浜東北線 蒲田駅 3階建 築43年,東京都大田区東矢口３,"ＪＲ京浜東北線/蒲田駅 歩164分,東急多摩川線/矢口渡駅 歩6分,東急池上線/蓮沼駅 歩7分",築43年,3階建,3階,6.2万円,3500円,6.2万円,6.2万円,1K,19.44m,https://suumo.jp/chintai/jnc_000055097734/?bc=100184052804
グランドゥール大野原　I,茨城県神栖市大野原中央２,鹿島臨海鉄道/鹿島神宮駅 歩197分,築5年,2階建,1階,5.6万円,3800円,-,2.8万円,1LDK,31.69m,https://suumo.jp/chintai/jnc_000054837206/?bc=100183898555
